0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,angle,yarnwidth,yarnheight,space,epoxy_e,epoxy_v,epoxy_CLTE,fibre_diameter (mm),fibre_num,fibre_e1,fibre_e2,fibre_e3,fibre_g12,fibre_g23,fibre_g13,fibre_v1,fibre_v2,fibre_v3,fibre_CLTE1,fibre_CLTE2,fibre_CLTE3,E1,E2,E3,G12,G23,G13,v12,v23,v13,CLTE1,CLTE2,CLTE3
0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0.771405443,0.293274904,1.385088748,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,39051000000,39012000000,36064000000,13225000000,11690000000,11737000000,0.2886,0.3548,0.3544,3.17E-05,3.19E-05,4.54E-05
0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0.408496494,0.342693215,0.672851262,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40478000000,40193000000,38139000000,13233000000,13095000000,13169000000,0.292,0.3425,0.3386,3.11E-05,3.18E-05,3.80E-05
0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0.331912342,0.208552403,0.588910261,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,39101000000,38848000000,36365000000,13004000000,12378000000,12351000000,0.2922,0.3536,0.3498,3.21E-05,3.24E-05,4.19E-05
1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0.336817242,0.127187,0.597995296,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,39259000000,39236000000,36216000000,13275000000,11756000000,11807000000,0.287,0.3546,0.3543,3.15E-05,3.16E-05,4.52E-05
0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0.801549377,0.102400231,1.381723778,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40928000000,40920000000,37774000000,14147000000,11292000000,11312000000,0.2842,0.3444,0.3443,2.95E-05,2.96E-05,4.83E-05
0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0.825631613,0.233242255,1.311822773,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41209000000,41145000000,38115000000,14049000000,12061000000,12111000000,0.2822,0.3446,0.3438,2.95E-05,2.97E-05,4.41E-05
0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0.223589721,0.127028556,0.414132872,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,38165000000,37955000000,35411000000,12758000000,11926000000,11927000000,0.2947,0.358,0.3549,3.30E-05,3.33E-05,4.38E-05
1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.294085744,0.214134839,0.442957498,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41515000000,41207000000,39118000000,13636000000,13419000000,13413000000,0.2884,0.3384,0.334,3.02E-05,3.06E-05,3.71E-05
0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0.273885205,0.202918519,0.500268862,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,38305000000,38043000000,35695000000,12553000000,12344000000,12324000000,0.2955,0.3565,0.3525,3.33E-05,3.36E-05,4.16E-05
1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0.635208127,0.268222207,1.181339075,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,38307000000,38160000000,35317000000,12869000000,11582000000,11608000000,0.2914,0.3594,0.3574,3.25E-05,3.29E-05,4.57E-05
